std_id,name,advanced_programming,data_structure,mathematics2,physic
404535,Farzad,17,18,17.5,16
548412,Hossein,20,15.75,13,14
401146,Amir Mahdi,15,16,20,14.75
782341,Sara,19,18.5,17,16
654987,Amir,14,13.5,15,12
912345,Nima,16,17,14.5,15
456789,Zahra,18,19,17.5,16
234567,Parsa,15,14,13.5,14
891234,Mina,19.5,18,17,18
567890,Kian,13,14,12.5,13
345678,Arman,16.5,15,14,15.5
789123,Ava,18,17.5,19,18
456123,Navid,14.5,15,13,14
678912,Yasmin,17,16.5,18,17
234891,AliReza,12,13,14,12.5
891567,Fatemeh,15.5,16,14,15
567234,Nazanin,19,18,17,19
345891,Sina,13.5,14,12,13
789456,Tara,17.5,18,16,17
456987,Milad,14,15,13.5,14
678345,Elina,18.5,19,17.5,18
234678,Mehrdad,16,15.5,14,16
891345,Sahar,17,16,18,17.5
567891,Arash,13,12.5,14,13
345234,Romina,19,18.5,19.5,18
789678,Saeed,15,16,14.5,15
456345,Neda,17.5,18,16.5,17
678567,Hamed,14,13.5,15,14
234345,Roya,18,17,18.5,17
891678,Dariush,16.5,15,14,16
